AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;BXNE53G1;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA
-1.0;-1.0;-1.1;-1.1;0.2;0.2;0.2;0.2;-0.8;-14.4;-7.7;13.0;10.7;16.0;0.0;-2.0;-2.0;0.0;-1.6;-1.6;-1.3;-0.3;-1.5;-0.4;-0.5;-0.5;0.5;0.5;1.2;-2.4;0.0;-2.4;0.7;0.7;-0.4;0.0;0.0;-4.7;-0.4;-0.4;-3.6;4.0;4.0;-1.9;-1.2;0.0;-0.2;-0.2;1.4;1.1;1.1;-1.0;-1.0;0.2;0.2;0.2;-1.4;-1.4;-0.4;-0.4;1.6;0.0;0.4;0.4;-0.5;-0.5;0.1;0.1;0.1;0.1;-0.5;-0.5;20.0;20.0;0.3;0.3;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-0.9;-0.9;-10.8;0.9;0.9;1.0;1.0;0.0;0.0;-0.0;-0.0;26.7;26.7;0.0;-0.2;-0.2;-4.2;-4.2;-4.2;0.1;0.1;-8.3;0.0;-38.9;-5.3;0.0;3.0;0.1;-132.3;-130.4;-1.5;-54.0;-1.6;15.1;-4.9;0.0;13.7;6.8;4.6;-22.1;43.7;0.0;21.6;0.0;0.0;-1.9;-6.3;-1.2;-3.8;-6.5;-2.6;-2.7;-47.6;0.7;0.7;0.5;0.0;-14.4;-14.4;-14.4;0.3;-1.7;-1.2;9.0;-10.1;-10.4;-16.7;-26.5;-30.0;-6.4;8.1;0.0;0.0;-4.9;0.1;20.4;-91.2;0.0;0.0;0.8;0.2;23.6;-5.7;-1.6;-1.8;-100.4;-0.0;0.0;15.9;-8.4;67.3;67.3;0.0;-5.3;-6.3;-2.7;-5.8;2.1;2.1;66.8;-75.3;-75.7;-15.0;-5.8;-10.3;1.4;-2.5;1.4;0.0;-8.3;-25.2;-16.8;-3.6;0.0;-3.7;-4.4;-0.4;-1.0;0.0;22.1;-7.2;24.7;3.4;-2.4;-4.2;-3.9;-5.1;-0.5;68.2;7.9;2.1
-0.6;-0.6;-1.3;-1.3;0.3;0.3;0.3;0.3;-0.8;-11.8;-6.9;13.0;8.0;16.0;0.0;-2.0;-2.0;0.0;-1.7;-1.7;-2.7;-0.6;-2.1;-0.7;-0.3;-0.3;0.5;0.5;1.1;-2.7;0.0;-2.7;0.3;0.3;-0.1;0.0;0.0;-3.3;-0.8;-0.8;-2.9;0.6;0.6;-1.8;-1.8;0.0;0.9;0.9;1.8;1.0;1.0;-1.0;-1.0;0.3;0.3;0.3;-1.7;-1.7;-0.4;-0.4;1.1;0.0;-0.8;-0.8;-0.5;-0.5;-0.6;-0.6;0.3;0.3;-0.7;-0.7;20.0;20.0;0.3;0.3;-1.6;-1.6;0.0;0.0;0.0;0.0;0.0;-0.7;-0.5;-4.7;1.3;1.3;0.3;0.3;-0.2;-0.2;1.3;1.3;25.3;25.3;0.0;-0.2;-0.2;-4.2;-4.2;-4.2;-0.1;-0.1;-5.4;0.0;-46.2;-5.1;0.0;-32.1;0.2;-120.8;-119.1;-1.7;-47.7;-10.4;22.1;-4.9;0.0;11.8;6.2;4.0;-23.0;57.6;0.0;4.8;-0.0;0.0;-1.9;-6.0;-2.0;-3.8;-6.4;-2.6;-3.0;-19.1;0.8;0.8;0.2;0.0;-4.9;-5.0;-5.0;0.0;-2.7;-1.6;8.4;-18.5;-18.7;1.8;0.0;12.0;-3.3;-3.9;0.0;0.0;-4.7;-0.5;-7.1;-94.7;0.0;0.0;1.6;1.3;5.1;-27.5;-8.1;2.0;-69.1;-0.0;2.3;11.1;-5.1;-0.0;68.3;0.0;-5.5;-6.5;-5.7;-11.9;2.3;2.4;68.0;-92.7;-92.7;-12.8;-3.4;-7.6;0.4;-3.2;0.4;0.0;-11.3;-30.5;-13.4;-6.2;0.0;-6.4;-4.6;-0.0;-2.0;0.0;26.3;-6.9;32.5;2.7;-2.5;-5.1;-4.7;-5.4;-0.5;69.2;7.4;1.7
-0.9;-0.9;-1.4;-1.4;0.2;0.2;0.2;0.2;-0.9;-11.7;-6.9;13.0;9.4;16.0;0.0;-2.3;-2.3;0.0;-1.7;-1.7;-4.2;-0.0;-0.1;-0.0;-0.7;-0.7;0.4;0.4;1.0;-3.1;0.0;-3.1;0.8;0.8;0.2;0.0;0.0;-3.1;-0.7;-0.7;-2.6;2.6;2.6;-1.5;-1.7;0.0;-0.3;-0.3;1.7;1.2;1.2;-0.8;-0.8;0.3;0.3;0.3;-1.6;-1.6;-0.4;-0.4;1.6;0.0;0.3;0.3;-0.5;-0.5;-0.4;-0.4;0.3;0.3;-0.6;-0.6;20.0;20.0;0.3;0.3;-1.6;-1.6;0.0;0.0;0.0;0.0;0.0;-1.1;-0.7;-8.8;0.6;0.6;0.5;0.5;-0.4;-0.4;0.1;0.1;25.3;25.3;0.0;-0.2;-0.2;-4.1;-4.1;-4.1;0.4;0.4;-4.6;0.0;-46.8;-5.4;0.0;-40.5;0.3;-120.7;-119.0;-1.2;-48.1;-10.5;22.3;-4.9;0.0;10.9;6.2;4.1;-22.5;57.7;0.0;5.0;-0.0;0.0;-2.1;-5.7;-2.0;-3.9;-6.0;-2.7;-3.0;-18.7;0.8;0.8;0.3;0.0;6.5;6.3;6.3;0.1;-1.9;-1.6;8.5;-11.4;-11.7;-3.3;0.0;22.6;-3.5;-6.8;0.0;0.0;-4.9;-0.6;-13.9;-95.4;0.0;0.0;-0.1;1.8;2.5;-37.1;-8.6;1.6;-56.3;-0.0;2.3;13.5;-5.1;0.0;68.2;0.0;-1.7;-2.8;-5.6;-11.6;2.4;2.4;67.8;-87.1;-87.1;-13.3;-3.9;-7.7;1.2;-3.9;1.2;0.0;-8.9;-30.9;-17.6;-6.4;0.0;-6.7;-4.8;0.3;-1.7;0.0;28.3;-6.9;38.5;3.1;-2.7;-5.2;-4.9;-5.6;-0.5;69.1;7.6;2.1
-1.2;-1.2;-1.5;-1.5;0.3;0.3;0.3;0.3;-1.0;-12.1;-7.1;13.0;8.3;16.0;0.0;-2.0;-2.0;0.0;-1.6;-1.6;-0.8;-0.2;-0.7;-0.2;-0.8;-0.8;0.3;0.3;0.6;-2.4;0.0;-2.4;0.9;0.9;0.1;0.0;0.0;-3.2;-0.5;-0.5;-2.8;1.2;1.2;-1.8;-2.2;0.0;-0.0;-0.0;1.0;0.9;0.9;-0.9;-0.9;0.3;0.3;0.3;-1.9;-1.9;-0.3;-0.3;1.3;0.0;-0.2;-0.2;-0.4;-0.4;-0.6;-0.6;0.2;0.2;-0.6;-0.6;20.0;20.0;0.3;0.3;-1.5;-1.5;0.0;0.0;0.0;0.0;0.0;-0.4;-0.2;-7.9;1.0;1.0;1.0;1.0;-0.3;-0.3;0.1;0.1;25.8;25.8;0.0;-0.2;-0.2;-3.9;-3.9;-3.9;0.0;0.0;-5.1;0.0;-44.4;-5.2;0.0;-42.1;0.3;-118.7;-117.1;-1.3;-45.7;-12.8;23.7;-4.9;0.0;12.3;6.0;3.8;-22.3;59.2;0.0;10.2;-0.0;0.0;-2.2;-6.1;-2.0;-3.8;-6.4;-2.6;-3.0;-26.1;0.5;0.5;0.6;0.0;20.3;19.9;19.9;0.4;-2.1;-1.6;8.4;-13.7;-13.9;-6.9;0.0;31.2;-2.8;-9.9;0.0;0.0;-4.8;-0.4;-12.4;-97.1;0.0;0.0;-7.9;1.7;1.4;-36.0;-8.7;1.5;-54.5;-0.0;2.0;12.8;-4.5;-0.0;68.4;0.0;-8.9;-9.9;-7.3;-12.9;2.2;2.2;68.1;-85.0;-85.0;-13.3;-3.9;-6.3;0.2;-3.2;0.2;0.0;-9.0;-30.5;-17.8;-6.2;0.0;-6.4;-4.2;0.2;-2.1;0.0;27.4;-7.0;37.9;3.4;-2.9;-5.7;-5.4;-5.3;-0.5;69.3;7.5;2.5
-0.7;-0.7;-1.7;-1.7;0.2;0.2;0.2;0.2;-0.9;-13.5;-7.9;13.0;8.4;16.0;0.0;-2.3;-2.3;0.0;-1.7;-1.7;-1.8;-0.2;-1.2;-0.4;-0.5;-0.5;0.3;0.3;0.2;-3.2;0.0;-3.2;-0.1;-0.1;0.7;0.0;0.0;-3.1;-0.2;-0.2;-2.5;2.1;2.1;-1.8;-1.6;0.0;0.1;0.1;0.6;0.9;0.9;-0.9;-0.9;0.1;0.1;0.1;-1.8;-1.8;-0.4;-0.4;1.3;0.0;0.0;0.0;-0.2;-0.2;-0.3;-0.3;-0.3;-0.3;-0.5;-0.5;20.0;20.0;0.3;0.3;-1.6;-1.6;0.0;0.0;0.0;0.0;0.0;-0.2;-0.1;-8.5;1.1;1.1;0.4;0.4;-0.3;-0.3;0.1;0.1;25.7;25.7;0.0;-0.2;-0.2;-4.1;-4.1;-4.1;0.2;0.2;-3.6;0.0;-43.4;-5.5;0.0;-50.6;0.3;-116.6;-115.1;-1.2;-46.7;-12.2;22.8;-4.9;0.0;11.9;6.1;3.9;-21.9;59.4;0.0;20.6;-0.0;0.0;-2.1;-6.1;-2.0;-3.8;-6.3;-2.6;-3.0;-17.7;0.6;0.6;0.4;0.0;15.4;15.0;15.0;0.2;-2.6;-1.6;8.5;-7.7;-8.0;-14.8;0.0;33.1;-3.4;-17.2;0.0;0.0;-5.0;-0.6;-16.5;-97.9;0.0;0.0;-14.5;1.3;2.1;-46.1;-4.4;-4.6;-59.4;-0.0;2.3;13.7;-5.0;-0.0;68.3;0.0;-9.5;-10.5;-7.4;-13.4;2.1;2.1;67.9;-85.4;-85.4;-12.7;-3.2;-6.7;0.2;-4.1;0.2;0.0;-9.3;-31.8;-18.4;-6.4;0.0;-6.7;-4.9;0.1;-2.2;0.0;28.6;-7.1;40.7;3.0;-2.7;-5.4;-5.1;-5.7;-0.5;69.2;7.6;2.2
0.3;0.3;-1.7;-1.7;0.2;0.2;0.2;0.2;-0.8;-9.9;-5.8;13.0;7.9;16.0;0.0;-2.0;-2.0;0.0;-1.7;-1.7;-2.8;-0.2;-0.9;-0.2;-0.4;-0.4;0.2;0.2;0.5;-3.5;0.0;-3.5;-1.4;-1.4;0.8;0.0;0.0;-3.4;0.0;0.0;-2.5;-0.7;-0.7;-1.9;-2.3;0.0;0.4;0.4;0.8;0.9;0.9;-0.9;-0.9;0.0;0.0;0.0;-1.7;-1.7;-0.2;-0.2;0.8;0.0;0.1;0.1;-0.2;-0.2;-0.4;-0.4;-0.2;-0.2;-0.6;-0.6;20.0;20.0;0.2;0.2;-1.5;-1.5;0.0;0.0;0.0;0.0;0.0;-0.6;-0.4;-4.0;1.2;1.2;-0.4;-0.4;-0.3;-0.3;-0.1;-0.1;25.9;25.9;0.0;-0.2;-0.2;-4.0;-4.0;-4.0;0.0;0.0;-5.0;0.0;-42.2;-5.3;0.0;-49.1;0.3;-115.9;-114.4;-1.6;-47.1;-12.1;24.3;-4.9;0.0;11.8;6.0;3.8;-22.7;59.4;0.0;4.7;0.0;0.0;-2.2;-6.0;-2.0;-3.8;-6.2;-2.6;-3.0;-21.8;1.0;0.9;0.2;0.0;0.5;0.4;0.4;-0.0;-2.1;-1.6;7.0;-17.2;-17.5;-4.5;0.0;36.3;-1.7;-15.6;0.0;0.0;-4.9;-0.4;-11.3;-101.9;0.0;0.0;-9.4;1.8;0.4;-38.6;-3.2;-3.4;-62.9;-0.0;1.4;14.2;-3.6;-0.0;68.4;0.0;-5.7;-6.7;-6.7;-12.6;2.3;2.3;68.1;-85.5;-85.5;-11.0;-1.4;-2.9;0.3;-4.0;0.3;0.0;-9.3;-32.2;-18.4;-6.4;0.0;-6.7;-5.6;0.0;-2.3;0.0;27.2;-7.0;38.5;2.4;-3.1;-5.9;-5.6;-4.9;-0.5;69.4;6.1;1.5
-0.7;-0.7;-1.2;-1.2;0.3;0.3;0.3;0.3;-0.6;-11.5;-6.1;13.0;7.9;16.0;0.0;-2.1;-2.1;0.0;-1.7;-1.7;-3.8;-0.2;-0.9;-0.3;0.0;0.0;0.2;0.2;0.9;-4.3;0.0;-4.3;-2.5;-2.5;-0.1;0.0;0.0;-5.1;-1.0;-1.0;-2.8;1.9;1.9;-1.6;-2.1;0.0;0.0;0.0;1.1;1.4;1.4;-0.3;-0.3;0.3;0.3;0.3;-1.7;-1.7;0.3;0.3;1.1;0.0;0.1;0.1;-0.3;-0.3;-0.7;-0.7;0.6;0.6;-0.9;-0.9;20.0;20.0;0.2;0.2;-1.5;-1.5;0.0;0.0;0.0;0.0;0.0;-0.5;-0.5;-9.7;1.2;1.2;0.9;0.9;-0.4;-0.4;-0.3;-0.3;25.7;25.7;0.0;-0.3;-0.3;-3.7;-3.7;-3.7;0.1;0.1;-4.9;0.0;-39.4;-5.3;0.0;-38.1;0.3;-114.7;-113.2;-1.4;-46.3;-11.9;24.5;-4.9;0.0;11.6;5.9;3.7;-22.6;58.5;0.0;30.7;0.0;0.0;-2.2;-5.1;-2.0;-3.8;-5.5;-2.6;-3.1;-21.3;0.9;0.9;0.6;0.0;6.0;5.8;5.7;0.4;-1.9;-1.6;6.6;-12.7;-13.0;-7.4;0.0;35.1;-0.8;-11.9;0.0;0.0;-4.9;-0.7;-13.7;-104.2;0.0;0.0;-15.4;-0.3;-0.2;-40.6;-3.6;-3.8;-70.2;-0.0;0.9;14.3;-2.5;-0.0;68.3;0.0;-5.7;-6.7;-7.0;-18.5;2.3;2.3;67.8;-91.9;-91.9;-4.3;-4.7;-6.0;0.3;-3.8;0.3;0.0;-9.3;-27.5;-18.3;-5.8;0.0;-6.0;-3.3;0.2;-2.3;0.0;25.3;-7.2;35.3;2.6;-3.1;-5.9;-5.5;-5.3;-0.5;69.4;5.7;1.6
-1.1;-1.1;-0.9;-0.9;0.2;0.2;0.2;0.2;-0.5;-11.4;-6.3;13.0;6.3;16.0;0.0;-1.6;-1.6;0.0;-1.7;-1.7;-2.5;0.0;0.0;0.0;-0.3;-0.3;0.5;0.5;0.8;-2.9;0.0;-2.9;-2.4;-2.4;-0.8;0.0;0.0;-3.8;-0.9;-0.9;-4.0;-0.1;-0.1;-1.0;-2.3;0.0;0.1;0.1;1.0;1.4;1.4;-0.2;-0.2;0.1;0.1;0.1;-1.6;-1.6;0.1;0.1;1.0;0.0;-0.2;-0.2;-0.4;-0.4;-0.9;-0.9;0.3;0.3;-0.6;-0.6;20.0;20.0;0.2;0.2;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-0.6;-0.6;-5.8;1.5;1.5;1.2;1.2;-0.3;-0.3;-0.0;-0.0;25.1;25.1;0.2;-0.3;-0.3;-3.5;-3.5;-3.5;-0.2;-0.2;-5.8;0.0;-34.5;-4.8;0.0;-32.9;0.1;-111.0;-109.6;-0.8;-45.1;-13.8;26.7;-4.9;0.0;13.1;6.1;4.0;-22.0;54.7;0.0;5.3;0.0;0.0;-2.1;-4.8;-2.0;-3.8;-5.3;-2.6;-3.0;-23.4;1.7;1.7;0.1;0.0;18.1;17.7;17.7;-0.1;-2.3;-1.6;6.8;-6.5;-6.8;-8.2;0.0;37.0;-2.6;-10.9;0.0;0.0;-4.5;-0.3;-15.3;-95.4;0.0;0.0;-5.6;-0.9;1.3;-48.7;-1.9;-2.1;-50.9;-0.0;1.7;16.4;-4.3;-0.0;68.3;0.0;-8.1;-9.0;-5.5;-12.3;2.3;2.3;68.0;-85.2;-85.2;-11.0;-1.4;-4.9;0.5;-4.0;0.5;0.0;-11.6;-26.5;-13.9;-4.9;0.0;-5.1;-2.8;0.2;-2.4;0.0;26.2;-5.9;37.0;2.3;-2.7;-5.7;-5.4;-5.0;-0.5;69.2;5.9;1.3
-0.4;-0.4;-1.1;-1.1;0.2;0.2;0.2;0.2;-0.4;-14.1;-8.0;13.0;7.3;16.0;0.0;-1.6;-1.6;0.0;-1.8;-1.8;-2.1;-0.3;-2.1;-0.7;-0.4;-0.4;0.2;0.2;0.7;-3.1;0.0;-3.1;-2.2;-2.2;-0.3;0.0;0.0;0.9;0.0;0.0;-2.6;-1.8;-1.8;-1.4;-1.7;0.0;-0.1;-0.1;0.7;1.4;1.4;-0.6;-0.6;-0.1;-0.1;-0.1;-1.1;-1.1;0.0;0.0;1.0;0.0;0.4;0.4;-0.2;-0.2;-0.8;-0.8;-0.2;-0.2;0.0;0.0;20.0;20.0;0.2;0.2;-1.3;-1.3;0.0;0.0;0.0;0.0;0.0;-0.1;-0.1;-0.9;1.2;1.2;0.3;0.3;-0.1;-0.1;-0.3;-0.3;24.5;24.5;0.0;-0.2;-0.2;-3.6;-3.6;-3.6;-0.3;-0.3;-4.4;0.0;-38.5;-4.2;0.0;1.9;0.1;-111.2;-109.8;-0.6;-46.4;-9.3;23.6;-4.9;0.0;12.4;6.4;4.2;-21.2;50.1;0.0;5.4;0.0;0.0;-2.1;-5.4;-1.6;-3.9;-5.7;-2.7;-3.0;-29.6;1.5;1.5;0.4;0.0;-27.2;-26.9;-27.0;0.2;-2.0;-0.8;6.3;-18.3;-18.5;-12.7;0.0;32.7;-8.2;1.3;0.0;0.0;-3.9;0.6;-11.1;-92.8;0.0;0.0;-17.5;1.5;0.2;-51.1;-1.5;-1.7;-76.3;-0.0;1.4;12.9;-9.9;-0.0;67.8;0.0;-2.5;-3.5;-3.8;-15.1;3.5;3.5;67.5;-89.0;-89.0;-11.3;-1.9;-3.7;0.9;-3.0;0.9;0.0;-11.3;-25.7;-13.5;-3.9;0.0;-4.1;-4.7;0.2;-2.9;0.0;21.6;-5.1;28.0;2.6;-2.7;-5.7;-5.5;-5.0;-0.5;68.9;5.5;1.4
-0.3;-0.3;-1.4;-1.4;0.3;0.3;0.3;0.3;-0.4;-9.8;-5.3;13.0;7.7;16.0;0.0;-1.3;-1.3;0.0;-1.6;-1.6;-2.9;0.0;-1.0;-0.3;-0.4;-0.4;0.2;0.2;0.7;-2.1;0.0;-2.1;-1.1;-1.1;0.5;0.0;0.0;-3.0;-0.7;-0.7;-3.3;2.0;2.0;-1.0;-1.9;0.0;-0.3;-0.3;0.9;1.7;1.7;-0.8;-0.8;0.1;0.1;0.1;-2.0;-2.0;0.2;0.2;0.9;0.0;0.4;0.4;-0.4;-0.4;-0.7;-0.7;0.9;0.9;-0.4;-0.4;20.0;20.0;0.2;0.2;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-7.6;1.8;1.8;0.3;0.3;0.0;0.0;-0.2;-0.2;24.4;24.4;0.0;-0.2;-0.2;-3.9;-3.9;-3.9;-0.1;-0.1;-4.3;0.0;-41.1;-4.4;0.0;9.8;0.0;-102.5;-101.3;0.6;-44.1;-11.1;23.1;-4.9;0.0;14.1;6.6;4.5;-20.0;44.7;0.0;27.2;0.0;0.0;-2.0;-5.1;-1.2;-3.8;-5.6;-2.6;-2.8;-37.9;1.6;1.6;0.4;0.0;1.4;1.2;1.2;0.2;-1.6;0.0;6.2;-23.6;-23.7;-11.7;0.0;39.6;-5.4;3.4;0.0;0.0;-4.0;1.0;-0.3;-90.9;0.0;0.0;-19.0;1.5;-1.4;-60.4;-1.2;-1.4;-73.1;-0.0;1.1;15.2;-7.0;-0.0;67.5;0.0;-5.6;-6.6;-3.7;-10.2;2.6;2.6;67.0;-79.9;-79.9;-10.1;-0.6;-2.5;0.7;-2.7;0.7;0.0;-8.5;-28.8;-17.0;-2.4;0.0;-2.5;-5.1;0.1;-2.0;0.0;19.4;-5.6;24.7;1.9;-2.2;-5.4;-5.2;-5.2;-0.5;68.7;5.4;0.6
-0.9;-0.9;-1.1;-1.1;0.3;0.3;0.3;0.3;-0.3;-11.2;-5.7;13.0;8.8;16.0;0.0;-1.0;-1.0;0.0;-1.3;-1.3;-1.4;0.0;-2.5;-0.8;-0.3;-0.3;-0.1;-0.1;1.8;-1.6;0.0;-1.6;-0.6;-0.6;0.1;0.0;0.0;0.4;-1.1;-1.1;-2.8;-1.3;-1.3;-1.0;5.5;0.0;-0.2;-0.2;0.0;1.8;1.8;-0.9;-0.9;0.3;0.3;0.3;-2.3;-2.3;0.0;0.0;0.4;0.0;0.8;0.8;-0.1;-0.1;-1.0;-1.0;1.7;1.7;0.1;0.1;20.0;20.0;0.1;0.1;-1.2;-1.2;0.0;0.0;0.0;0.0;0.0;-0.2;-0.2;-2.5;2.1;2.1;0.7;0.7;0.4;0.4;-0.8;-0.8;25.1;25.1;0.0;-0.3;-0.3;-3.8;-3.8;-3.8;-0.4;-0.4;-4.0;0.0;-47.3;-3.4;0.0;23.3;0.0;-125.6;-123.8;0.8;-40.6;-11.0;23.7;-4.9;0.0;15.2;7.1;5.0;-19.3;37.6;0.0;15.5;0.0;0.0;-1.8;-5.3;-1.2;-3.6;-5.7;-2.5;-2.7;-53.0;2.0;2.0;0.3;0.0;37.3;36.7;36.7;0.1;-2.7;-1.2;7.4;-17.4;-17.6;-11.5;1.8;1.7;-9.0;11.3;0.0;0.0;-3.2;1.7;10.4;-89.9;0.0;0.0;7.2;2.0;1.7;-36.4;2.8;-6.6;-63.2;-0.0;0.9;16.5;-10.5;-0.0;67.9;0.0;-4.9;-5.9;-3.5;-10.0;2.8;2.8;67.6;-77.8;-77.8;-9.2;0.4;-1.7;1.0;-1.8;1.0;0.0;-10.7;-24.0;-12.4;-1.5;0.0;-1.5;-3.6;-0.1;-2.0;0.0;15.2;-5.6;12.4;1.6;-2.5;-5.5;-5.2;-5.2;-0.5;69.2;7.0;0.0
-1.1;-1.1;-0.9;-0.9;0.2;0.2;0.2;0.2;-0.4;-10.4;-5.6;13.0;8.6;16.0;0.0;-1.7;-1.7;0.0;-1.5;-1.5;0.8;0.7;-2.8;-0.9;-0.0;-0.0;0.2;0.2;0.7;-2.8;0.0;-2.8;-1.8;-1.8;-0.1;0.0;0.0;0.8;-0.6;-0.6;-4.3;-0.3;-0.3;-1.0;-1.2;0.0;-0.0;-0.0;0.3;2.1;2.1;-0.7;-0.7;0.3;0.3;0.3;-2.0;-2.0;0.2;0.2;0.8;0.0;0.8;0.8;0.0;0.0;-0.1;-0.1;1.1;1.1;-0.2;-0.2;20.0;20.0;0.1;0.1;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;-0.1;-0.1;-2.5;2.0;2.0;0.8;0.8;0.7;0.7;-0.8;-0.8;23.7;23.7;0.0;-0.0;-0.0;-3.8;-3.8;-3.8;0.5;0.5;-3.0;0.0;-37.6;-4.0;0.0;37.1;0.0;-112.9;-111.5;1.0;-39.7;-10.5;23.3;-4.9;0.0;16.1;7.4;5.3;-18.7;32.8;0.0;21.6;-0.0;0.0;-1.6;-5.0;-1.2;-3.5;-5.4;-2.4;-2.3;-54.1;1.5;1.5;1.3;0.0;44.1;43.4;43.4;1.0;-1.3;-0.8;7.0;-15.4;-15.6;-12.8;9.8;9.7;-10.5;9.3;0.0;0.0;-3.8;2.8;12.6;-84.3;0.0;0.0;8.3;1.2;4.0;-37.9;1.6;1.4;-60.7;-0.0;0.0;15.7;-12.2;-0.0;67.8;0.0;-5.4;-6.4;-4.2;-15.1;3.2;3.2;67.4;-84.4;-84.3;-7.9;1.7;-1.8;1.3;-1.5;1.3;0.0;-9.8;-21.0;-10.8;-0.7;0.0;-0.7;-2.7;-0.3;-0.7;0.0;21.6;-5.8;21.7;1.5;-2.4;-5.3;-5.0;-4.3;-0.5;68.7;6.8;-0.4
